,pIC50
0,5.142667503568732
1,5.026872146400302
2,4.8696662315049934
3,4.8823973083099155
4,5.698970004336019
5,6.008773924307505
6,5.31695296176115
7,6.022276394711152
8,4.950781977329818
9,4.628932137728263
10,4.900664722314042
11,4.756961951313706
12,4.346787486224656
13,4.154901959985743
14,4.180456064458132
15,6.431798275933005
16,4.903089986991944
17,4.721246399047171
18,4.6020599913279625
19,4.1487416512809245
20,5.958607314841775
21,4.301029995663981
22,1.0
23,5.522878745280337
24,1.0
25,3.5228787452803374
26,1.0
27,3.6020599913279625
28,1.0
29,3.6989700043360187
30,1.0
31,4.0
32,1.0
33,4.221848749616356
34,1.0
35,4.346787486224656
36,1.0
37,4.3979400086720375
38,1.0
39,4.823908740944319
40,1.0
41,4.823908740944319
42,1.0
43,4.920818753952375
44,1.0
45,3.0
46,1.0
47,3.3010299956639813
48,1.0
49,3.3979400086720375
50,1.0
51,3.4559319556497243
52,1.0
53,3.5228787452803374
54,1.0
55,3.5228787452803374
56,1.0
57,3.6989700043360187
58,1.0
59,3.6989700043360187
60,1.0
61,3.6989700043360187
62,1.0
63,3.6989700043360187
64,1.0
65,4.221848749616356
66,1.0
67,4.3979400086720375
68,1.0
69,4.522878745280337
70,1.0
71,4.823908740944319
72,1.0
73,4.853871964321762
74,1.0
75,4.958607314841775
76,1.0
77,5.0
78,6.045757490560675
79,5.221848749616356
80,4.920818753952375
81,4.886056647693163
82,4.886056647693163
83,4.823908740944319
84,4.795880017344075
85,4.795880017344075
86,4.795880017344075
87,4.6020599913279625
88,4.494850021680094
89,5.522878745280337
90,5.301029995663981
91,5.0
92,4.823908740944319
93,4.795880017344075
94,4.7447274948966935
95,4.7447274948966935
96,4.698970004336019
97,4.3979400086720375
98,6.522878745280337
99,7.221848749616356
100,7.200659450546418
101,6.468521082957745
102,6.568636235841013
103,7.022276394711152
104,7.187086643357144
105,7.301029995663981
106,6.769551078621726
107,4.050122295963125
108,4.605548319173784
109,4.675717544702307
110,3.6445484798734826
111,4.412289034981089
112,4.841637507904751
113,4.675717544702307
114,5.795880017344075
115,4.97061622231479
116,5.036212172654444
117,6.096910013008056
118,5.055517327849832
119,5.309803919971486
120,4.522878745280337
121,4.2839966563652006
122,4.057495893831919
123,6.154901959985743
124,5.920818753952375
125,4.220403508742176
126,4.767003889607846
127,4.7447274948966935
128,4.97469413473523
129,4.995678626217358
130,4.939302159646388
131,4.97061622231479
132,4.102922996790579
