,molecule_chembl_id
0,CHEMBL187579
1,CHEMBL188487
2,CHEMBL185698
3,CHEMBL426082
4,CHEMBL187717
5,CHEMBL365134
6,CHEMBL187598
7,CHEMBL190743
8,CHEMBL365469
9,CHEMBL188983
10,CHEMBL191575
11,CHEMBL370923
12,CHEMBL194398
13,CHEMBL196635
14,CHEMBL209287
15,CHEMBL358279
16,CHEMBL348660
17,CHEMBL379727
18,CHEMBL210525
19,CHEMBL148483
20,CHEMBL383725
21,CHEMBL118596
22,CHEMBL208732
23,CHEMBL208732
24,CHEMBL210146
25,CHEMBL210146
26,CHEMBL207458
27,CHEMBL207458
28,CHEMBL207484
29,CHEMBL207484
30,CHEMBL207207
31,CHEMBL207207
32,CHEMBL210487
33,CHEMBL210487
34,CHEMBL380470
35,CHEMBL380470
36,CHEMBL210612
37,CHEMBL210612
38,CHEMBL209667
39,CHEMBL209667
40,CHEMBL210097
41,CHEMBL210097
42,CHEMBL378674
43,CHEMBL378674
44,CHEMBL210216
45,CHEMBL210216
46,CHEMBL210195
47,CHEMBL210195
48,CHEMBL210437
49,CHEMBL210437
50,CHEMBL378677
51,CHEMBL378677
52,CHEMBL210972
53,CHEMBL210972
54,CHEMBL210145
55,CHEMBL210145
56,CHEMBL377225
57,CHEMBL377225
58,CHEMBL210823
59,CHEMBL210823
60,CHEMBL207381
61,CHEMBL207381
62,CHEMBL210511
63,CHEMBL210511
64,CHEMBL210632
65,CHEMBL210632
66,CHEMBL210497
67,CHEMBL210497
68,CHEMBL208584
69,CHEMBL208584
70,CHEMBL208763
71,CHEMBL208763
72,CHEMBL209227
73,CHEMBL209227
74,CHEMBL210092
75,CHEMBL210092
76,CHEMBL377150
77,CHEMBL377150
78,CHEMBL212454
79,CHEMBL213581
80,CHEMBL380403
81,CHEMBL212504
82,CHEMBL211969
83,CHEMBL384739
84,CHEMBL215732
85,CHEMBL212240
86,CHEMBL377253
87,CHEMBL215397
88,CHEMBL378342
89,CHEMBL379642
90,CHEMBL427404
91,CHEMBL212190
92,CHEMBL378700
93,CHEMBL212019
94,CHEMBL212399
95,CHEMBL215733
96,CHEMBL375130
97,CHEMBL214372
98,CHEMBL212218
99,CHEMBL222840
100,CHEMBL222769
101,CHEMBL222735
102,CHEMBL222628
103,CHEMBL222893
104,CHEMBL225515
105,CHEMBL222234
106,CHEMBL426898
107,CHEMBL187266
108,CHEMBL215254
109,CHEMBL2146517
110,CHEMBL187460
111,CHEMBL363535
112,CHEMBL227075
113,CHEMBL45830
114,CHEMBL187266
115,CHEMBL215254
116,CHEMBL2146517
117,CHEMBL187460
118,CHEMBL363535
119,CHEMBL227075
120,CHEMBL45830
121,CHEMBL215254
122,CHEMBL187460
123,CHEMBL363535
124,CHEMBL227075
125,CHEMBL45830
126,CHEMBL187266
127,CHEMBL215254
128,CHEMBL2146517
129,CHEMBL187460
130,CHEMBL363535
131,CHEMBL227075
132,CHEMBL45830
